Ansonia,-73.06903839111328,41.34339141845703,city,CT,1.38
Bridgeport,-73.19621276855469,41.18632125854492,city,CT,2.25
Bristol,-72.9410171508789,41.68119812011721,city,CT,2.9
Danbury,-73.47152709960938,41.40213012695314,city,CT,3.65
Darien,-73.4797134399414,41.05113983154297,census designated place,CT,2.01
Derby,-73.08278656005861,41.3266716003418,city,CT,1.27
East Hartford,-72.61593627929688,41.76136016845703,census designated place,CT,2.39
East Haven,-72.86305236816406,41.29560852050781,census designated place,CT,1.98
Hartford,-72.68386840820312,41.76570129394531,city,CT,2.35
Meriden,-72.79518127441406,41.53665161132813,city,CT,2.75
Middletown,-72.65426635742188,41.54837036132814,city,CT,3.61
Milford,-73.06262969970703,41.22623825073243,city (remainder),CT,2.64
Naugatuck,-73.05204772949219,41.48960113525391,borough,CT,2.28
New Britain,-72.78780364990234,41.67509841918945,city,CT,2.06
New Haven,-72.92405700683594,41.31010055541992,city,CT,2.44
Newington,-72.7306900024414,41.68727111816406,census designated place,CT,2.05
New London,-72.09501647949219,41.32966995239258,city,CT,1.34
North Haven,-72.85636138916016,41.38090896606445,census designated place,CT,2.58
Norwalk,-73.42017364501953,41.09394836425782,city,CT,2.7
Norwich,-72.08795166015625,41.55017852783203,city,CT,2.99
Orange,-73.02586364746094,41.27944946289063,census designated place,CT,2.34
Shelton,-73.1385498046875,41.30405044555664,city,CT,3.12
Stamford,-73.55268859863281,41.09672927856445,city,CT,3.46
Storrs,-72.25668334960938,41.806049346923835,census designated place,CT,1.33
Stratford,-73.13021850585938,41.20431900024415,census designated place,CT,2.36
Torrington,-73.12944030761719,41.8349609375,city,CT,3.56
Trumbull,-73.20747375488281,41.25817108154297,census designated place,CT,2.72
Wallingford Center,-72.81939697265625,41.44979858398438,census designated place,CT,1.52
Waterbury,-73.03742980957031,41.55839920043945,city,CT,3.01
West Hartford,-72.75440979003906,41.76765060424805,census designated place,CT,2.64
West Haven,-72.96830749511719,41.27394866943359,city,CT,1.85
Westport,-73.3475570678711,41.12319946289063,census designated place,CT,2.52
Wethersfield,-72.67011260986328,41.70114898681641,census designated place,CT,1.98
Willimantic,-72.21797180175781,41.71561050415039,census designated place,CT,1.18
